航空航天学院,干湧
化学系,雷鸣
医学院,郑莲顺
建筑工程学院,林伟岸
教育学院,吕强
数学系,孙业顺
农业技术推广中心,陈安国
化学系,李秀玲
人文学院,陶然
环境与资源学院,谢晓梅
建筑工程学院,尚岳全
地球科学系,杜震洪
心理与行为科学系,水仁德
经济学院,杨柳勇
化学系,吴起
经济学院,朱燕建
物理学系,张宏
外国语言文化与国际交流学院,施晓伟
外国语言文化与国际交流学院,史占泓
电气工程学院,吴浩
法学院,夏立安
控制科学与工程学系,徐祖华
农业技术推广中心,崔海瑞
电气工程学院,吴建华
生物医学工程与仪器科学学院,宋开臣
高分子科学与工程学系,傅智盛
教育学院,阎亚军
人文学院,盛晓明
化学工程与生物工程学系,王丽军
管理学院,阮俊华
建筑工程学院,陈翔
高分子科学与工程学系,高超
生命科学学院,刘非燕
物理学系,许祝安
能源工程学系,朱绍鹏
人文学院,彭利贞
化学工程与生物工程学系,申屠宝卿
光电信息工程学系,何赛灵
思想政治理论教学科研部,刘召峰
教育学院,周清志
药学院,王龙虎
